available_at,direction,event_id,lower,timeframe,upper,zone_type
2022-09-15 15:45:00,BULLISH,D1-20220914-BULLISH,12088.0,M5,12100.9,BREAKER
2022-09-15 20:15:00,BULLISH,D1-20220914-BULLISH,12032.0,M5,12051.8,BREAKER
2022-09-15 14:03:00,BULLISH,D1-20220914-BULLISH,12094.4,M1,12099.7,BREAKER
2022-09-15 16:51:00,BULLISH,D1-20220914-BULLISH,12121.0,M1,12122.9,BREAKER
2022-09-15 15:48:00,BULLISH,D1-20220914-BULLISH,12104.2,M1,12108.1,BREAKER
2022-09-15 17:22:00,BULLISH,D1-20220914-BULLISH,12093.4,M1,12099.8,BREAKER
2022-09-15 16:44:00,BULLISH,D1-20220914-BULLISH,12082.9,M1,12092.3,BREAKER
2022-09-15 20:05:00,BULLISH,D1-20220914-BULLISH,12039.0,M1,12049.7,BREAKER
2022-09-15 18:29:00,BULLISH,D1-20220914-BULLISH,11963.2,M1,11974.1,BREAKER
2022-09-15 18:21:00,BULLISH,D1-20220914-BULLISH,11943.2,M1,11948.6,BREAKER
2022-09-15 19:53:00,BULLISH,D1-20220914-BULLISH,11969.0,M1,11982.6,BREAKER
2022-09-15 23:03:00,BULLISH,D1-20220914-BULLISH,11936.1,M1,11946.3,BREAKER
2022-09-19 18:00:00,BULLISH,D1-20220916-BULLISH,11855.6,M15,11865.0,BREAKER
2022-09-19 17:00:00,BULLISH,D1-20220916-BULLISH,11803.8,M15,11813.9,BREAKER
2022-09-19 19:15:00,BULLISH,D1-20220916-BULLISH,11769.4,M15,11786.3,BREAKER
2022-09-19 08:25:00,BULLISH,D1-20220916-BULLISH,11812.2,M5,11817.2,BREAKER
2022-09-19 16:50:00,BULLISH,D1-20220916-BULLISH,11801.9,M5,11810.0,BREAKER
2022-09-19 14:15:00,BULLISH,D1-20220916-BULLISH,11746.6,M5,11759.2,BREAKER
2022-09-19 14:00:00,BULLISH,D1-20220916-BULLISH,11740.7,M5,11749.7,BREAKER
2022-09-19 03:29:00,BULLISH,D1-20220916-BULLISH,11865.3,M1,11872.8,BREAKER
2022-09-19 02:35:00,BULLISH,D1-20220916-BULLISH,11849.1,M1,11851.8,BREAKER
2022-09-19 17:38:00,BULLISH,D1-20220916-BULLISH,11863.7,M1,11868.8,BREAKER
2022-09-19 04:44:00,BULLISH,D1-20220916-BULLISH,11852.8,M1,11856.6,BREAKER
2022-09-19 16:54:00,BULLISH,D1-20220916-BULLISH,11841.5,M1,11845.3,BREAKER
2022-09-19 08:20:00,BULLISH,D1-20220916-BULLISH,11816.0,M1,11817.8,BREAKER
2022-09-19 07:12:00,BULLISH,D1-20220916-BULLISH,11802.5,M1,11804.4,BREAKER
2022-09-19 08:20:00,BULLISH,D1-20220916-BULLISH,11815.2,M1,11817.1,BREAKER
2022-09-19 07:03:00,BULLISH,D1-20220916-BULLISH,11812.9,M1,11814.1,BREAKER
2022-09-19 08:27:00,BULLISH,D1-20220916-BULLISH,11809.2,M1,11812.8,BREAKER
2022-09-19 16:43:00,BULLISH,D1-20220916-BULLISH,11812.0,M1,11813.6,BREAKER
2022-09-19 16:36:00,BULLISH,D1-20220916-BULLISH,11799.4,M1,11802.4,BREAKER
2022-09-19 16:34:00,BULLISH,D1-20220916-BULLISH,11790.8,M1,11794.8,BREAKER
2022-09-19 15:54:00,BULLISH,D1-20220916-BULLISH,11780.9,M1,11789.3,BREAKER
2022-09-19 10:51:00,BULLISH,D1-20220916-BULLISH,11761.7,M1,11765.4,BREAKER
2022-09-19 13:54:00,BULLISH,D1-20220916-BULLISH,11752.4,M1,11756.3,BREAKER
2022-09-19 15:10:00,BULLISH,D1-20220916-BULLISH,11753.8,M1,11755.9,BREAKER
2022-09-19 16:29:00,BULLISH,D1-20220916-BULLISH,11749.3,M1,11753.1,BREAKER
2022-09-19 21:24:00,BULLISH,D1-20220916-BULLISH,11820.6,M1,11830.6,BREAKER
2022-09-19 19:25:00,BULLISH,D1-20220916-BULLISH,11812.7,M1,11821.3,BREAKER
2022-09-19 20:32:00,BULLISH,D1-20220916-BULLISH,11857.4,M1,11864.7,BREAKER
2022-09-19 21:33:00,BULLISH,D1-20220916-BULLISH,11857.1,M1,11860.7,BREAKER
